control,level,title,subscription,resource,status,details
7.5,1,Ensure that Network Watcher is 'Enabled' for Azure Regions,Contoso-Production,,PASS,"Network Watcher is enabled in all regions where resources are deployed (West Europe, North Europe)."
7.6,2,Ensure that the Expiration Date is set for all Firewall Policy Rule Collections,Contoso-Production,,INFO,No Azure Firewall Policy Rule Collections found in this subscription.
8.3.1,1,Ensure that the Expiration Date is set for all Keys in Non-RBAC Key Vaults,Contoso-Production,contoso-prod-kv,PASS,All 4 keys have expiration dates set.
8.3.1,1,Ensure that the Expiration Date is set for all Keys in Non-RBAC Key Vaults,Contoso-Production,contoso-secrets-kv,ERROR,Firewall blocked — resource not reachable from this runner. Enable trusted Microsoft services or add the runner IP to the firewall allowlist.
8.3.2,1,Ensure that the Expiration Date is set for all Keys in RBAC Key Vaults,Contoso-Production,contoso-shared-kv,PASS,All 2 keys have expiration dates set.
8.3.4,1,Ensure that the Expiration Date is set for all Secrets in Non-RBAC Key Vaults,Contoso-Production,contoso-prod-kv,FAIL,"2 secrets have no expiration date: 'db-connection-string', 'api-key-external'."
8.3.9,2,Ensure the key vault is recoverable,Contoso-Production,contoso-prod-kv,PASS,Soft delete and purge protection are both enabled.
8.3.9,2,Ensure the key vault is recoverable,Contoso-Production,contoso-shared-kv,PASS,Soft delete and purge protection are both enabled.
8.3.11,2,Ensure that Private Endpoints are used for Azure Key Vault,Contoso-Production,contoso-prod-kv,FAIL,No private endpoint is configured for this Key Vault.
9.1.1,1,Ensure that 'Secure transfer required' is set to 'Enabled',Contoso-Production,contosoproddata,PASS,Secure transfer is required.
9.1.1,1,Ensure that 'Secure transfer required' is set to 'Enabled',Contoso-Production,contosoprodlogs,PASS,Secure transfer is required.
9.1.1,1,Ensure that 'Secure transfer required' is set to 'Enabled',Contoso-Development,contosodevtest,FAIL,Secure transfer is not required.
9.1.2,1,Ensure that storage account access keys are periodically regenerated,Contoso-Production,contosoproddata,FAIL,Access key was last rotated 187 days ago (threshold: 90 days).
9.2.1,2,Ensure that 'Enable Infrastructure Encryption' for each Storage Account is set to 'checked',Contoso-Production,contosoproddata,PASS,Infrastructure encryption is enabled.
9.2.2,1,Ensure that 'Enable Soft Delete for Blobs' is set to 'Enabled',Contoso-Production,contosoproddata,PASS,Blob soft delete is enabled with a retention of 14 days.
9.2.2,1,Ensure that 'Enable Soft Delete for Blobs' is set to 'Enabled',Contoso-Development,contosodevtest,FAIL,Blob soft delete is not enabled.
9.2.3,1,Ensure that 'Enable Soft Delete for Containers' is set to 'Enabled',Contoso-Production,contosoproddata,PASS,Container soft delete is enabled with a retention of 14 days.
9.3.1,1,Ensure that the storage account public access is disabled,Contoso-Production,contosoproddata,PASS,Public blob access is disabled.
9.3.1,1,Ensure that the storage account public access is disabled,Contoso-Development,contosodevtest,FAIL,Public blob access is enabled.
9.4,2,"Ensure Storage Logging is Enabled for Queue Service for Read, Write, and Delete Requests",Contoso-Production,contosoproddata,INFO,No Queue service found on this account (blob-only storage).
